 	Label	TRACK_ID	SPOT_SOURCE_ID	SPOT_TARGET_ID	LINK_COST	EDGE_TIME	EDGE_X_LOCATION	EDGE_Y_LOCATION	EDGE_Z_LOCATION	VELOCITY	DISPLACEMENT	MANUAL_COLOR
1	(ID447 : ID256)	0	447	256	0.041	0.500	16.450	20.144	0	0.204	0.204	None
2	(ID256 : ID630)	0	256	630	0.023	1.500	16.609	20.064	0	0.152	0.152	None
3	(ID630 : ID819)	0	630	819	0.015	2.500	16.740	20.028	0	0.123	0.123	None
4	(ID819 : ID1200)	0	819	1200	0.020	3.500	16.857	20.063	0	0.140	0.140	None
5	(ID1200 : ID1008)	0	1200	1008	0.006	4.500	16.942	20.078	0	0.080	0.080	None
6	(ID1008 : ID1390)	0	1008	1390	0.029	5.500	16.954	19.968	0	0.169	0.169	None
7	(ID1390 : ID1580)	0	1390	1580	0.030	6.500	16.915	19.800	0	0.174	0.174	None
8	(ID1580 : ID1773)	0	1580	1773	0.012	7.500	16.903	19.663	0	0.108	0.108	None
9	(ID1773 : ID1966)	0	1773	1966	0.007	8.500	16.901	19.569	0	0.086	0.086	None
10	(ID1966 : ID2155)	0	1966	2155	0.018	9.500	16.874	19.462	0	0.134	0.134	None
11	(ID2155 : ID2344)	0	2155	2344	0.003	10.500	16.876	19.376	0	0.053	0.053	None
12	(ID2344 : ID2534)	0	2344	2534	0.005	11.500	16.926	19.347	0	0.070	0.070	None
13	(ID2534 : ID2725)	0	2534	2725	0.019	12.500	17.026	19.354	0	0.137	0.137	None
14	(ID2725 : ID2915)	0	2725	2915	0.003	13.500	17.107	19.394	0	0.055	0.055	None
15	(ID2915 : ID3108)	0	2915	3108	0.058	14.500	17.005	19.444	0	0.240	0.240	None
16	(ID3108 : ID3301)	0	3108	3301	0.026	15.500	16.813	19.504	0	0.163	0.163	None
17	(ID3301 : ID3498)	0	3301	3498	0.011	16.500	16.699	19.572	0	0.106	0.106	None
18	(ID3498 : ID3694)	0	3498	3694	0.006	17.500	16.633	19.635	0	0.078	0.078	None
19	(ID3694 : ID3888)	0	3694	3888	0.011	18.500	16.567	19.697	0	0.103	0.103	None
20	(ID3888 : ID4086)	0	3888	4086	0.050	19.500	16.637	19.758	0	0.224	0.224	None
21	(ID4086 : ID4283)	0	4086	4283	0.101	20.500	16.838	19.915	0	0.317	0.317	None
22	(ID4283 : ID4478)	0	4283	4478	0.049	21.500	17.037	20.071	0	0.222	0.222	None
23	(ID4478 : ID4669)	0	4478	4669	0.139	22.500	17.174	19.915	0	0.373	0.373	None
24	(ID4669 : ID4864)	0	4669	4864	0.089	23.500	17.153	19.590	0	0.298	0.298	None
25	(ID4864 : ID5060)	0	4864	5060	0.119	24.500	16.990	19.319	0	0.345	0.345	None
26	(ID5060 : ID5252)	0	5060	5252	0.125	25.500	16.737	19.081	0	0.353	0.353	None
27	(ID5252 : ID5447)	0	5252	5447	0.038	26.500	16.611	18.878	0	0.194	0.194	None
28	(ID5447 : ID5643)	0	5447	5643	0.068	27.500	16.505	18.730	0	0.262	0.262	None
29	(ID5643 : ID5839)	0	5643	5839	0.025	28.500	16.443	18.624	0	0.159	0.159	None
30	(ID5839 : ID6230)	0	5839	6230	0.093	29.500	16.643	18.626	0	0.304	0.304	None
31	(ID6230 : ID6037)	0	6230	6037	0.318	30.500	16.964	18.900	0	0.564	0.564	None
32	(ID6037 : ID6625)	0	6037	6625	0.023	31.500	17.167	19.189	0	0.152	0.152	None
33	(ID6625 : ID6427)	0	6625	6427	0.003	32.500	17.212	19.281	0	0.056	0.056	None
34	(ID6427 : ID7018)	0	6427	7018	9.946E-4	33.500	17.243	19.287	0	0.032	0.032	None
35	(ID7018 : ID6823)	0	7018	6823	9.770E-4	34.500	17.267	19.279	0	0.031	0.031	None
36	(ID6823 : ID7214)	0	6823	7214	5.487E-5	35.500	17.279	19.283	0	0.007	0.007	None
37	(ID7214 : ID7410)	0	7214	7410	0.001	36.500	17.271	19.302	0	0.037	0.037	None
