 	Label	TRACK_ID	SPOT_SOURCE_ID	SPOT_TARGET_ID	LINK_COST	EDGE_TIME	EDGE_X_LOCATION	EDGE_Y_LOCATION	EDGE_Z_LOCATION	VELOCITY	DISPLACEMENT	MANUAL_COLOR
1	(ID358 : ID384)	0	358	384	0.041	0.500	15.996	19.872	0	0.204	0.204	None
2	(ID384 : ID411)	0	384	411	0.023	1.500	16.155	19.792	0	0.152	0.152	None
3	(ID411 : ID438)	0	411	438	0.015	2.500	16.286	19.755	0	0.123	0.123	None
4	(ID438 : ID465)	0	438	465	0.020	3.500	16.403	19.791	0	0.140	0.140	None
5	(ID465 : ID494)	0	465	494	0.006	4.500	16.488	19.806	0	0.080	0.080	None
6	(ID494 : ID523)	0	494	523	0.029	5.500	16.500	19.695	0	0.169	0.169	None
7	(ID523 : ID549)	0	523	549	0.030	6.500	16.461	19.528	0	0.174	0.174	None
8	(ID549 : ID604)	0	549	604	0.012	7.500	16.449	19.391	0	0.108	0.108	None
9	(ID604 : ID576)	0	604	576	0.007	8.500	16.447	19.296	0	0.086	0.086	None
10	(ID576 : ID659)	0	576	659	0.018	9.500	16.420	19.190	0	0.134	0.134	None
11	(ID659 : ID630)	0	659	630	0.003	10.500	16.422	19.104	0	0.053	0.053	None
12	(ID630 : ID688)	0	630	688	0.005	11.500	16.472	19.074	0	0.070	0.070	None
13	(ID688 : ID716)	0	688	716	0.019	12.500	16.572	19.082	0	0.137	0.137	None
14	(ID716 : ID745)	0	716	745	0.003	13.500	16.653	19.122	0	0.055	0.055	None
15	(ID745 : ID777)	0	745	777	0.058	14.500	16.551	19.172	0	0.240	0.240	None
16	(ID777 : ID808)	0	777	808	0.026	15.500	16.359	19.232	0	0.163	0.163	None
17	(ID808 : ID840)	0	808	840	0.011	16.500	16.245	19.299	0	0.106	0.106	None
18	(ID840 : ID873)	0	840	873	0.006	17.500	16.179	19.363	0	0.078	0.078	None
19	(ID873 : ID906)	0	873	906	0.011	18.500	16.113	19.425	0	0.103	0.103	None
20	(ID906 : ID939)	0	906	939	0.050	19.500	16.183	19.486	0	0.224	0.224	None
21	(ID939 : ID972)	0	939	972	0.101	20.500	16.384	19.642	0	0.317	0.317	None
22	(ID972 : ID1005)	0	972	1005	0.049	21.500	16.583	19.799	0	0.222	0.222	None
23	(ID1005 : ID1039)	0	1005	1039	0.139	22.500	16.720	19.642	0	0.373	0.373	None
24	(ID1039 : ID1070)	0	1039	1070	0.089	23.500	16.699	19.318	0	0.298	0.298	None
25	(ID1070 : ID1102)	0	1070	1102	0.119	24.500	16.536	19.047	0	0.345	0.345	None
26	(ID1102 : ID1134)	0	1102	1134	0.125	25.500	16.283	18.809	0	0.353	0.353	None
27	(ID1134 : ID1166)	0	1134	1166	0.038	26.500	16.157	18.606	0	0.194	0.194	None
28	(ID1166 : ID1198)	0	1166	1198	0.068	27.500	16.051	18.457	0	0.262	0.262	None
29	(ID1198 : ID1228)	0	1198	1228	0.025	28.500	15.989	18.351	0	0.159	0.159	None
30	(ID1228 : ID1260)	0	1228	1260	0.093	29.500	16.189	18.353	0	0.304	0.304	None
31	(ID1260 : ID1292)	0	1260	1292	0.318	30.500	16.510	18.627	0	0.564	0.564	None
32	(ID1292 : ID1324)	0	1292	1324	0.023	31.500	16.713	18.917	0	0.152	0.152	None
33	(ID1324 : ID1358)	0	1324	1358	0.003	32.500	16.758	19.008	0	0.056	0.056	None
34	(ID1358 : ID1393)	0	1358	1393	9.946E-4	33.500	16.789	19.015	0	0.032	0.032	None
35	(ID1393 : ID1425)	0	1393	1425	9.770E-4	34.500	16.813	19.006	0	0.031	0.031	None
36	(ID1425 : ID1488)	0	1425	1488	5.487E-5	35.500	16.825	19.011	0	0.007	0.007	None
37	(ID1488 : ID1455)	0	1488	1455	0.001	36.500	16.817	19.029	0	0.037	0.037	None
38	(ID1455 : ID1518)	0	1455	1518	5.107E-4	37.500	16.817	19.058	0	0.023	0.023	None
39	(ID1518 : ID1551)	0	1518	1551	0.011	38.500	16.771	19.086	0	0.107	0.107	None
40	(ID1551 : ID1586)	0	1551	1586	0.023	39.500	16.711	19.180	0	0.152	0.152	None
41	(ID1586 : ID1622)	0	1586	1622	0.143	40.500	16.711	19.444	0	0.378	0.378	None
42	(ID1622 : ID1657)	0	1622	1657	0.020	41.500	16.787	19.657	0	0.142	0.142	None
43	(ID1657 : ID1695)	0	1657	1695	0.185	42.500	16.837	19.467	0	0.430	0.430	None
44	(ID1695 : ID1732)	0	1695	1732	0.056	43.500	16.750	19.158	0	0.236	0.236	None
45	(ID1732 : ID1767)	0	1732	1767	0.323	44.500	16.442	18.908	0	0.568	0.568	None
46	(ID1767 : ID1805)	0	1767	1805	0.226	45.500	16.008	18.617	0	0.475	0.475	None
47	(ID1805 : ID1841)	0	1805	1841	0.241	46.500	15.619	18.332	0	0.491	0.491	None
48	(ID1841 : ID1879)	0	1841	1879	0.299	47.500	15.182	18.057	0	0.547	0.547	None
49	(ID1879 : ID1916)	0	1879	1916	0.248	48.500	14.707	17.842	0	0.498	0.498	None
50	(ID1916 : ID1954)	0	1916	1954	0.226	49.500	14.260	17.650	0	0.476	0.476	None
51	(ID1954 : ID1993)	0	1954	1993	0.192	50.500	13.906	17.378	0	0.438	0.438	None
52	(ID1993 : ID2034)	0	1993	2034	0.210	51.500	13.599	17.054	0	0.458	0.458	None
53	(ID2034 : ID2075)	0	2034	2075	0.195	52.500	13.285	16.732	0	0.442	0.442	None
54	(ID2075 : ID2116)	0	2075	2116	0.242	53.500	12.972	16.385	0	0.492	0.492	None
55	(ID2116 : ID2155)	0	2116	2155	0.241	54.500	12.643	16.020	0	0.491	0.491	None
56	(ID2155 : ID2194)	0	2155	2194	0.207	55.500	12.326	15.669	0	0.456	0.456	None
57	(ID2194 : ID2272)	0	2194	2272	0.045	56.500	12.065	15.482	0	0.212	0.212	None
58	(ID2272 : ID2232)	0	2272	2232	0.153	57.500	12.000	15.270	0	0.391	0.391	None
59	(ID2232 : ID2345)	0	2232	2345	0.185	58.500	11.882	14.930	0	0.430	0.430	None
60	(ID2345 : ID2306)	0	2345	2306	0.053	59.500	11.727	14.667	0	0.230	0.230	None
61	(ID2306 : ID2419)	0	2306	2419	0.011	60.500	11.780	14.540	0	0.106	0.106	None
62	(ID2419 : ID2381)	0	2419	2381	0.012	61.500	11.884	14.517	0	0.107	0.107	None
63	(ID2381 : ID2457)	0	2381	2457	0.016	62.500	11.999	14.497	0	0.126	0.126	None
64	(ID2457 : ID2494)	0	2457	2494	2.758E-5	63.500	12.060	14.485	0	0.005	0.005	None
65	(ID2494 : ID2529)	0	2494	2529	3.505E-6	64.500	12.059	14.482	0	0.002	0.002	None
66	(ID2529 : ID2565)	0	2529	2565	3.230E-4	65.500	12.060	14.473	0	0.018	0.018	None
67	(ID2565 : ID2600)	0	2565	2600	0.005	66.500	12.089	14.484	0	0.070	0.070	None
68	(ID2600 : ID2634)	0	2600	2634	0.049	67.500	12.229	14.501	0	0.221	0.221	None
69	(ID2634 : ID2667)	0	2634	2667	0.021	68.500	12.360	14.567	0	0.145	0.145	None
70	(ID2667 : ID2700)	0	2667	2700	5.529E-5	69.500	12.378	14.639	0	0.007	0.007	None
71	(ID2700 : ID2735)	0	2700	2735	7.875E-5	70.500	12.372	14.640	0	0.009	0.009	None
72	(ID2735 : ID2770)	0	2735	2770	0.003	71.500	12.386	14.658	0	0.054	0.054	None
73	(ID2770 : ID2803)	0	2770	2803	0.008	72.500	12.436	14.711	0	0.092	0.092	None
74	(ID2803 : ID2837)	0	2803	2837	9.536E-4	73.500	12.454	14.749	0	0.031	0.031	None
75	(ID2837 : ID2869)	0	2837	2869	0.004	74.500	12.412	14.767	0	0.060	0.060	None
76	(ID2869 : ID2902)	0	2869	2902	0.001	75.500	12.368	14.784	0	0.035	0.035	None
77	(ID2902 : ID2935)	0	2902	2935	6.600E-4	76.500	12.341	14.781	0	0.026	0.026	None
78	(ID2935 : ID2966)	0	2935	2966	6.882E-4	77.500	12.329	14.786	0	0.026	0.026	None
79	(ID2966 : ID2998)	0	2966	2998	0.005	78.500	12.305	14.772	0	0.068	0.068	None
80	(ID2998 : ID3029)	0	2998	3029	0.002	79.500	12.280	14.724	0	0.044	0.044	None
81	(ID3029 : ID3062)	0	3029	3062	0.011	80.500	12.241	14.744	0	0.107	0.107	None
82	(ID3062 : ID3094)	0	3062	3094	0.003	81.500	12.182	14.773	0	0.054	0.054	None
83	(ID3094 : ID3127)	0	3094	3127	0.001	82.500	12.147	14.747	0	0.036	0.036	None
84	(ID3127 : ID3161)	0	3127	3161	0.010	83.500	12.109	14.773	0	0.099	0.099	None
85	(ID3161 : ID3194)	0	3161	3194	0.022	84.500	12.045	14.749	0	0.149	0.149	None
86	(ID3194 : ID3228)	0	3194	3228	0.001	85.500	12.025	14.677	0	0.037	0.037	None
