 	Label	ID	TRACK_ID	QUALITY	POSITION_X	POSITION_Y	POSITION_Z	POSITION_T	FRAME	RADIUS	VISIBILITY	MANUAL_COLOR	MEAN_INTENSITY	MEDIAN_INTENSITY	MIN_INTENSITY	MAX_INTENSITY	TOTAL_INTENSITY	STANDARD_DEVIATION	ESTIMATED_DIAMETER	CONTRAST	SNR
1	ID447	447	0	3.665	16.362	20.194	0	0	0	0.500	1	-10921639	135.383	146	0	255	55913	81.045	0.680	0.741	1.422
2	ID256	256	0	3.932	16.539	20.094	0	1	1	0.500	1	-10921639	140.596	146	0	255	58066	80.360	0.689	0.676	1.411
3	ID630	630	0	3.956	16.679	20.035	0	2	2	0.500	1	-10921639	136.814	146	0	255	56504	80.063	0.690	0.668	1.368
4	ID819	819	0	4.076	16.802	20.020	0	3	3	0.500	1	-10921639	135.562	146	0	255	55987	80.164	0.715	0.765	1.465
5	ID1200	1200	0	4.053	16.913	20.106	0	4	4	0.500	1	-10921639	133.266	146	0	255	55039	82.167	0.697	0.726	1.364
6	ID1008	1008	0	4.132	16.971	20.051	0	5	5	0.500	1	-10921639	134.668	146	0	255	55618	80.939	0.717	0.788	1.466
7	ID1390	1390	0	4.118	16.937	19.885	0	6	6	0.500	1	-10921639	134.477	146	0	255	55539	81.590	0.709	0.848	1.512
8	ID1580	1580	0	4.144	16.893	19.716	0	7	7	0.500	1	-10921639	138.370	146	0	255	57147	81.784	0.697	0.802	1.506
9	ID1773	1773	0	4.024	16.914	19.610	0	8	8	0.500	1	-10921639	140.838	146	0	255	58166	78.311	0.724	0.646	1.412
10	ID1966	1966	0	4.085	16.887	19.528	0	9	9	0.500	1	-10921639	138.116	146	0	255	57042	79.529	0.703	0.734	1.471
11	ID2155	2155	0	4.226	16.860	19.397	0	10	10	0.500	1	-10921639	134.855	146	0	255	55695	82.120	0.703	0.764	1.423
12	ID2344	2344	0	4.092	16.893	19.355	0	11	11	0.500	1	-10921639	137.148	146	0	255	56642	80.895	0.687	0.702	1.398
13	ID2534	2534	0	4.012	16.960	19.338	0	12	12	0.500	1	-10921639	137.320	146	0	255	56713	78.102	0.660	0.659	1.397
14	ID2725	2725	0	4.096	17.093	19.371	0	13	13	0.500	1	-10921639	143.341	146	0	255	59200	79.427	0.691	0.641	1.411
15	ID2915	2915	0	4.088	17.122	19.417	0	14	14	0.500	1	-10921639	147.206	182	0	255	60796	76.718	0.707	0.519	1.312
16	ID3108	3108	0	4.008	16.888	19.471	0	15	15	0.500	1	-10921639	136.344	146	0	255	56310	76.359	0.696	0.688	1.456
17	ID3301	3301	0	4.513	16.739	19.537	0	16	16	0.500	1	-10921639	130.777	146	0	255	54011	80.335	0.725	0.912	1.553
18	ID3498	3498	0	4.613	16.659	19.607	0	17	17	0.500	1	-10921639	131.845	146	0	255	54452	80.092	0.721	0.899	1.559
19	ID3694	3694	0	4.563	16.606	19.663	0	18	18	0.500	1	-10921639	128.734	146	0	255	53167	78.627	0.729	0.911	1.561
20	ID3888	3888	0	4.705	16.528	19.731	0	19	19	0.500	1	-10921639	130.935	146	0	255	54076	81.467	0.714	0.912	1.534
21	ID4086	4086	0	4.606	16.746	19.785	0	20	20	0.500	1	-10921639	129.182	146	0	255	53352	79.676	0.704	0.843	1.483
22	ID4283	4283	0	4.523	16.930	20.044	0	21	21	0.500	1	-10921639	129.816	146	0	219	53614	78.497	0.728	0.831	1.501
23	ID4478	4478	0	4.365	17.145	20.099	0	22	22	0.500	1	-10921639	125.460	146	0	255	51815	73.581	0.689	0.702	1.406
24	ID4669	4669	0	4.338	17.203	19.730	0	23	23	0.500	1	-10921639	127.852	146	0	219	52803	73.043	0.679	0.672	1.407
25	ID4864	4864	0	4.367	17.103	19.450	0	24	24	0.500	1	-10921639	128.208	146	0	255	52950	73.702	0.679	0.589	1.290
26	ID5060	5060	0	4.331	16.877	19.189	0	25	25	0.500	1	-10921639	126.961	146	0	219	52435	71.977	0.722	0.716	1.472
27	ID5252	5252	0	4.429	16.597	18.974	0	26	26	0.500	1	-10921639	125.835	146	0	255	51970	74.176	0.688	0.750	1.454
28	ID5447	5447	0	4.605	16.625	18.782	0	27	27	0.500	1	-10921639	130.162	146	0	255	53757	78.853	0.717	0.871	1.537
29	ID5643	5643	0	4.664	16.385	18.678	0	28	28	0.500	1	-10921639	132.637	146	0	255	54779	77.829	0.738	0.772	1.485
30	ID5839	5839	0	4.605	16.502	18.570	0	29	29	0.500	1	-10921639	128.370	146	0	255	53017	76.993	0.694	0.742	1.421
31	ID6230	6230	0	4.380	16.785	18.682	0	30	30	0.500	1	-10921639	125.378	146	0	219	51781	73.197	0.709	0.656	1.358
32	ID6037	6037	0	4.408	17.142	19.117	0	31	31	0.500	1	-10921639	131.661	146	0	255	54376	73.941	0.712	0.606	1.344
33	ID6625	6625	0	4.511	17.191	19.262	0	32	32	0.500	1	-10921639	134.564	146	0	255	55575	74.862	0.723	0.634	1.395
34	ID6427	6427	0	4.502	17.233	19.300	0	33	33	0.500	1	-10921639	135.378	146	0	255	55911	74.591	0.754	0.698	1.492
35	ID7018	7018	0	4.577	17.252	19.275	0	34	34	0.500	1	-10921639	138.799	146	0	255	57324	72.990	0.753	0.663	1.516
36	ID6823	6823	0	4.667	17.283	19.283	0	35	35	0.500	1	-10921639	140.910	146	0	255	58196	75.652	0.764	0.656	1.476
37	ID7214	7214	0	4.692	17.275	19.284	0	36	36	0.500	1	-10921639	140.666	146	0	255	58095	75.861	0.757	0.665	1.482
38	ID7410	7410	0	4.571	17.267	19.320	0	37	37	0.500	1	-10921639	138.264	146	0	255	57103	74.260	0.741	0.735	1.577
39	ID7606	7606	0	4.546	17.276	19.341	0	38	38	0.500	1	-10921639	138.453	146	0	255	57181	73.878	0.761	0.662	1.493
40	ID7802	7802	0	4.668	17.175	19.377	0	39	39	0.500	1	-10921639	140.661	146	0	255	58093	76.993	0.743	0.750	1.566
41	ID8200	8200	0	4.455	17.155	19.528	0	40	40	0.500	1	-10921639	131.320	146	0	219	54235	76.863	0.727	0.832	1.552
42	ID8004	8004	0	4.431	17.175	19.905	0	41	41	0.500	1	-10921639	129.257	146	0	255	53383	74.688	0.719	0.843	1.583
43	ID8600	8600	0	4.531	17.308	19.954	0	42	42	0.500	1	-10921639	132.114	146	0	255	54563	77.878	0.713	0.821	1.529
44	ID8399	8399	0	4.519	17.275	19.525	0	43	43	0.500	1	-10921639	134.787	146	0	219	55667	75.466	0.720	0.751	1.532
45	ID8797	8797	0	4.387	17.133	19.336	0	44	44	0.500	1	-10921639	132.613	146	0	219	54769	69.718	0.715	0.562	1.369
