 	Label	NUMBER_SPOTS	NUMBER_GAPS	LONGEST_GAP	NUMBER_SPLITS	NUMBER_MERGES	NUMBER_COMPLEX	TRACK_DURATION	TRACK_START	TRACK_STOP	TRACK_DISPLACEMENT	TRACK_INDEX	TRACK_ID	TRACK_X_LOCATION	TRACK_Y_LOCATION	TRACK_Z_LOCATION	TRACK_MEAN_SPEED	TRACK_MAX_SPEED	TRACK_MIN_SPEED	TRACK_MEDIAN_SPEED	TRACK_STD_SPEED	TRACK_MEAN_QUALITY	TRACK_MAX_QUALITY	TRACK_MIN_QUALITY	TRACK_MEDIAN_QUALITY	TRACK_STD_QUALITY
1	Track_0	150	0	0	0	0	0	149	0	149	6.025	0	0	13.718	16.206	0	0.138	0.568	0.002	0.080	0.144	4.431	4.774	3.665	4.510	0.221
2	Track_2	150	0	0	0	0	0	149	0	149	0.038	2	2	1.358	20.310	0	0.026	0.119	6.806E-4	0.016	0.025	4.731	4.938	4.228	4.774	0.146
3	Track_3	150	0	0	0	0	0	149	0	149	0.311	3	3	15.805	21.112	0	0.010	0.046	0.001	0.008	0.006	5.156	5.296	4.240	5.219	0.200
4	Track_4	150	0	0	0	0	0	149	0	149	0.373	4	4	0.757	21.442	0	0.010	0.054	1.442E-4	0.008	0.007	3.946	4.177	3.294	3.987	0.177
5	Track_5	150	0	0	0	0	0	149	0	149	0.359	5	5	3.269	21.651	0	0.010	0.046	0.001	0.009	0.006	4.743	4.833	4.582	4.749	0.048
6	Track_6	150	0	0	0	0	0	149	0	149	0.227	6	6	20.851	23.199	0	0.005	0.045	0.000	0.000	0.014	4.093	4.898	3.225	4.122	0.474
7	Track_7	150	0	0	0	0	0	149	0	149	0.354	7	7	5.069	1.102	0	0.012	0.071	6.228E-4	0.010	0.010	3.949	4.139	3.237	3.990	0.151
8	Track_11	150	0	0	0	0	0	149	0	149	0.364	11	11	14.235	4.089	0	0.011	0.085	2.847E-4	0.009	0.010	4.301	4.438	3.845	4.327	0.105
9	Track_12	150	0	0	0	0	0	149	0	149	0.388	12	12	12.400	5.500	0	0.014	0.063	0.001	0.011	0.011	3.625	3.934	3.167	3.678	0.212
10	Track_14	150	0	0	0	0	0	149	0	149	3.190	14	14	20.330	8.033	0	0.243	0.724	0.008	0.198	0.161	4.355	4.679	3.997	4.353	0.121
11	Track_16	150	0	0	0	0	0	149	0	149	3.046	16	16	13.340	10.536	0	0.117	0.872	0.002	0.071	0.152	3.759	3.984	3.293	3.777	0.132
12	Track_18	150	0	0	0	0	0	149	0	149	0.356	18	18	15.210	13.384	0	0.011	0.054	6.822E-4	0.009	0.008	4.248	4.399	3.742	4.278	0.113
13	Track_19	150	0	0	0	0	0	149	0	149	0.347	19	19	3.518	14.038	0	0.010	0.043	5.868E-4	0.008	0.006	4.853	4.973	4.238	4.880	0.119
14	Track_20	150	0	0	0	0	0	149	0	149	0.355	20	20	17.743	15.972	0	0.011	0.047	6.020E-4	0.011	0.007	5.162	5.371	4.614	5.211	0.146
15	Track_21	150	0	0	0	0	0	149	0	149	9.857	21	21	14.136	15.835	0	0.260	0.687	0.009	0.238	0.162	4.573	5.053	3.668	4.603	0.219
16	Track_22	150	0	0	0	0	0	149	0	149	0.343	22	22	2.841	18.239	0	0.011	0.043	0.001	0.009	0.007	4.791	4.994	4.254	4.879	0.200
17	Track_23	150	0	0	0	0	0	149	0	149	0.356	23	23	12.529	18.444	0	0.010	0.046	2.270E-4	0.008	0.007	4.646	4.728	4.106	4.661	0.069
18	Track_25	150	0	0	0	0	0	149	0	149	0.366	25	25	14.422	19.388	0	0.012	0.052	8.271E-4	0.010	0.008	3.827	3.973	3.248	3.853	0.114
19	Track_33	141	0	0	0	0	0	140	9	149	5.873	33	33	20.991	18.256	0	0.195	0.653	0.003	0.110	0.180	4.943	5.250	3.710	5.000	0.248
20	Track_44	131	0	0	0	0	0	130	19	149	5.776	44	44	8.630	4.576	0	0.104	0.805	0.002	0.031	0.172	4.090	4.241	3.251	4.114	0.149
21	Track_45	131	0	0	0	0	0	130	19	149	6.458	45	45	23.983	4.416	0	0.150	0.906	0.004	0.113	0.164	4.007	4.362	3.279	4.051	0.229
22	Track_47	128	0	0	0	0	0	127	22	149	14.178	47	47	13.732	13.685	0	0.353	0.574	0.028	0.414	0.154	4.613	4.965	3.843	4.660	0.200
23	Track_51	121	0	0	0	0	0	120	29	149	11.724	51	51	17.409	16.149	0	0.216	0.786	0.011	0.127	0.188	4.274	5.149	3.288	4.369	0.295
24	Track_54	117	0	0	0	0	0	116	33	149	21.705	54	54	15.689	10.145	0	0.289	0.829	0.002	0.141	0.297	4.350	4.633	3.315	4.370	0.178
25	Track_59	110	0	0	0	0	0	109	40	149	12.057	59	59	14.598	6.120	0	0.257	0.751	0.000	0.173	0.225	4.285	4.835	3.306	4.359	0.269
26	Track_63	107	0	0	0	0	0	106	43	149	11.048	63	63	13.004	6.175	0	0.280	0.885	0.002	0.212	0.244	3.719	4.350	3.122	3.707	0.297
27	Track_65	105	0	0	0	0	0	104	45	149	7.557	65	65	23.335	21.501	0	0.146	0.682	0.002	0.073	0.182	4.235	4.440	3.599	4.267	0.146
28	Track_74	99	0	0	0	0	0	98	51	149	13.294	74	74	15.534	7.503	0	0.238	0.894	0.004	0.051	0.299	3.911	4.581	3.434	3.922	0.235
29	Track_79	89	0	0	0	0	0	88	61	149	14.963	79	79	10.405	3.770	0	0.272	0.863	0.002	0.138	0.303	3.847	4.414	3.151	3.909	0.219
30	Track_94	64	0	0	0	0	0	63	86	149	1.514	94	94	21.717	21.773	0	0.153	0.718	0.007	0.119	0.118	4.149	4.300	3.640	4.143	0.117
