 	Label	NUMBER_SPOTS	NUMBER_GAPS	LONGEST_GAP	NUMBER_SPLITS	NUMBER_MERGES	NUMBER_COMPLEX	TRACK_DURATION	TRACK_START	TRACK_STOP	TRACK_DISPLACEMENT	TRACK_INDEX	TRACK_ID	TRACK_X_LOCATION	TRACK_Y_LOCATION	TRACK_Z_LOCATION	TRACK_MEAN_SPEED	TRACK_MAX_SPEED	TRACK_MIN_SPEED	TRACK_MEDIAN_SPEED	TRACK_STD_SPEED	TRACK_MEAN_QUALITY	TRACK_MAX_QUALITY	TRACK_MIN_QUALITY	TRACK_MEDIAN_QUALITY	TRACK_STD_QUALITY
1	Track_0	150	0	0	0	0	0	149	0	149	6.025	0	0	14.172	16.478	0	0.138	0.568	0.002	0.080	0.144	4.431	4.774	3.665	4.510	0.221
2	Track_1	150	0	0	0	0	0	149	0	149	17.321	1	1	3.180	8.290	0	0.263	0.868	0.000	0.132	0.312	4.519	5.448	3.345	4.424	0.499
3	Track_2	150	0	0	0	0	0	149	0	149	0.442	2	2	42.349	20.341	0	0.011	0.059	4.528E-4	0.010	0.008	4.389	4.494	3.855	4.423	0.119
4	Track_3	150	0	0	0	0	0	149	0	149	17.259	3	3	21.069	18.084	0	0.472	3.339	0.002	0.220	0.641	3.355	4.255	2.566	3.358	0.325
5	Track_4	150	0	0	0	0	0	149	0	149	0.343	4	4	36.856	20.572	0	0.012	0.071	1.895E-4	0.010	0.011	3.752	3.899	3.117	3.789	0.144
6	Track_5	150	0	0	0	0	0	149	0	149	0.038	5	5	1.812	20.582	0	0.026	0.119	6.804E-4	0.016	0.025	4.731	4.938	4.228	4.774	0.146
7	Track_6	150	0	0	0	0	0	149	0	149	7.096	6	6	20.991	21.732	0	0.313	0.606	0.007	0.330	0.182	3.992	4.300	2.804	4.098	0.318
8	Track_7	150	0	0	0	0	0	149	0	149	6.423	7	7	37.271	22.565	0	0.096	1.344	0.001	0.019	0.159	3.895	5.252	3.282	3.500	0.620
9	Track_8	150	0	0	0	0	0	149	0	149	0.353	8	8	36.315	21.113	0	0.013	0.096	9.806E-4	0.010	0.014	3.151	3.301	2.447	3.238	0.205
10	Track_9	150	0	0	0	0	0	149	0	149	2.338	9	9	29.083	21.911	0	0.067	1.930	7.685E-4	0.021	0.208	3.865	4.279	2.678	4.156	0.479
11	Track_10	150	0	0	0	0	0	149	0	149	6.071	10	10	34.714	13.432	0	0.394	0.830	0.008	0.466	0.287	3.883	4.409	3.023	3.932	0.259
12	Track_11	150	0	0	0	0	0	149	0	149	0.311	11	11	16.259	21.384	0	0.010	0.046	0.001	0.008	0.006	5.156	5.296	4.240	5.219	0.200
13	Track_12	138	1	1	0	0	0	138	0	138	3.834	12	12	3.075	22.212	0	0.047	2.510	2.550E-4	0.010	0.285	4.098	4.833	2.006	4.725	0.961
14	Track_13	150	0	0	0	0	0	149	0	149	8.339	13	13	37.314	19.739	0	0.148	1.705	2.696E-4	0.012	0.244	4.167	4.577	3.166	4.240	0.269
15	Track_14	42	1	1	0	0	0	42	0	42	2.515	14	14	3.669	22.238	0	0.070	2.359	0.002	0.012	0.366	4.293	4.799	2.015	4.746	1.009
16	Track_15	150	0	0	0	0	0	149	0	149	7.323	15	15	40.863	22.239	0	0.126	1.243	0.002	0.061	0.156	4.950	5.334	3.835	5.064	0.317
17	Track_16	150	0	0	0	0	0	149	0	149	1.160	16	16	41.905	23.453	0	0.017	0.772	0.002	0.010	0.063	4.244	4.538	3.606	4.350	0.277
18	Track_17	112	1	1	0	0	0	112	0	112	1.636	17	17	30.369	24.698	0	0.294	2.635	0.001	0.017	0.751	3.370	4.344	2.663	2.878	0.680
19	Track_18	150	0	0	0	0	0	149	0	149	0.876	18	18	38.356	23.530	0	0.016	0.524	7.880E-4	0.010	0.043	3.352	3.563	3.114	3.313	0.108
20	Track_19	150	0	0	0	0	0	149	0	149	0.338	19	19	42.852	23.203	0	0.010	0.047	6.911E-4	0.009	0.007	3.672	3.936	2.961	3.708	0.223
21	Track_20	139	0	0	0	0	0	138	0	138	1.248	20	20	28.850	23.480	0	0.034	0.858	9.755E-4	0.009	0.120	3.036	3.320	2.680	3.185	0.227
22	Track_21	150	0	0	0	0	0	149	0	149	13.074	21	21	19.713	17.761	0	0.195	0.630	0.009	0.111	0.185	4.269	4.729	3.288	4.316	0.254
23	Track_22	150	0	0	0	0	0	149	0	149	0.356	22	22	21.299	23.494	0	0.010	0.048	5.377E-4	0.009	0.007	4.248	4.446	3.697	4.374	0.227
24	Track_23	150	0	0	0	0	0	149	0	149	2.903	23	23	42.507	25.160	0	0.078	2.116	6.826E-4	0.042	0.178	4.534	5.214	3.091	4.954	0.654
25	Track_24	150	0	0	0	0	0	149	0	149	1.728	24	24	38.115	24.621	0	0.021	1.506	1.138E-4	0.009	0.123	3.495	3.728	3.236	3.607	0.176
26	Track_25	40	2	1	0	0	0	41	0	41	0.397	25	25	29.066	23.997	0	0.096	0.765	0.002	0.024	0.177	2.683	2.765	2.533	2.706	0.066
27	Track_26	79	1	1	0	0	0	79	0	79	0.557	26	26	29.626	24.127	0	0.196	2.624	0.001	0.013	0.475	2.793	4.276	2.673	2.782	0.176
28	Track_27	150	0	0	0	0	0	149	0	149	0.354	27	27	13.087	24.289	0	0.010	0.049	8.484E-4	0.008	0.007	3.452	3.538	2.968	3.469	0.074
29	Track_28	150	0	0	0	0	0	149	0	149	3.511	28	28	30.744	23.203	0	0.052	1.360	0.001	0.017	0.140	3.783	4.461	3.162	3.795	0.141
30	Track_29	16	0	0	0	0	0	15	0	15	0.079	29	29	3.710	24.263	0	0.026	0.071	0.005	0.022	0.019	2.174	2.225	2.135	2.182	0.028
31	Track_30	148	1	1	0	0	0	148	0	148	6.571	30	30	30.095	25.778	0	0.189	1.803	0.001	0.014	0.415	3.697	4.352	2.371	3.716	0.532
32	Track_31	50	0	0	0	0	0	49	0	49	1.060	31	31	28.055	25.391	0	0.179	1.895	0.015	0.124	0.265	3.933	4.236	2.694	4.061	0.352
33	Track_32	3	0	0	0	0	0	2	0	2	0.914	32	32	36.507	24.634	0	0.460	0.513	0.406	0.513	0.076	2.617	2.734	2.549	2.567	0.083
34	Track_33	150	0	0	0	0	0	149	0	149	0.343	33	33	14.139	24.854	0	0.010	0.054	0.001	0.009	0.007	3.890	3.984	3.328	3.911	0.078
35	Track_34	150	0	0	0	0	0	149	0	149	1.111	34	34	37.675	25.652	0	0.019	0.936	0.002	0.010	0.076	3.394	3.771	3.062	3.240	0.260
36	Track_35	150	0	0	0	0	0	149	0	149	0.335	35	35	35.785	25.267	0	0.013	0.114	3.801E-4	0.009	0.015	3.116	3.511	2.534	3.143	0.190
37	Track_36	150	0	0	0	0	0	149	0	149	2.619	36	36	23.504	26.398	0	0.028	1.847	1.384E-4	0.009	0.160	4.061	4.422	2.718	4.184	0.437
38	Track_37	150	0	0	0	0	0	149	0	149	3.929	37	37	31.938	21.926	0	0.048	2.711	0.001	0.011	0.235	4.181	4.416	2.519	4.337	0.442
39	Track_38	150	0	0	0	0	0	149	0	149	2.430	38	38	13.486	26.461	0	0.102	0.549	0.002	0.063	0.112	3.387	3.643	2.209	3.444	0.216
40	Track_39	150	0	0	0	0	0	149	0	149	4.643	39	39	41.182	27.455	0	0.047	2.174	0.001	0.012	0.237	3.014	3.657	2.415	3.160	0.299
41	Track_40	125	0	0	0	0	0	124	0	124	4.866	40	40	33.359	28.578	0	0.154	1.629	9.812E-4	0.028	0.387	3.881	4.829	2.001	3.865	0.580
42	Track_41	149	1	1	0	0	0	149	0	149	12.307	41	41	33.525	15.868	0	0.319	2.338	0.007	0.249	0.292	3.384	3.852	2.656	3.446	0.258
43	Track_42	150	0	0	0	0	0	149	0	149	4.478	42	42	42.447	27.710	0	0.067	2.157	0.002	0.019	0.225	3.217	3.778	2.529	3.165	0.405
44	Track_43	149	1	1	0	0	0	149	0	149	4.055	43	43	36.373	27.242	0	0.095	1.584	0.001	0.018	0.288	2.871	3.551	2.002	2.956	0.316
45	Track_44	6	0	0	0	0	0	5	0	5	0.096	44	44	8.082	26.065	0	0.062	0.096	0.027	0.050	0.032	3.431	3.531	3.220	3.475	0.101
46	Track_45	133	0	0	0	0	0	132	0	132	2.984	45	45	33.517	26.104	0	0.231	1.828	0.002	0.019	0.466	3.168	4.382	2.011	3.093	0.505
47	Track_46	46	0	0	0	0	0	45	0	45	30.535	46	46	9.149	15.080	0	0.806	1.039	0.519	0.825	0.092	3.496	3.765	2.644	3.549	0.210
48	Track_47	150	0	0	0	0	0	149	0	149	8.361	47	47	21.485	18.945	0	0.208	0.544	0.003	0.128	0.180	4.965	5.250	4.434	4.985	0.168
49	Track_48	150	0	0	0	0	0	149	0	149	2.195	48	48	34.419	26.086	0	0.130	1.069	8.795E-5	0.019	0.280	2.830	3.490	2.021	2.954	0.540
50	Track_49	150	0	0	0	0	0	149	0	149	0.360	49	49	7.231	26.503	0	0.061	1.647	8.368E-4	0.017	0.162	4.325	5.096	2.780	4.653	0.811
51	Track_50	42	0	0	0	0	0	41	0	41	1.510	50	50	34.782	25.216	0	0.118	1.250	0.009	0.054	0.209	2.522	3.092	2.035	2.613	0.257
52	Track_51	150	0	0	0	0	0	149	0	149	10.019	51	51	34.186	31.773	0	0.117	1.486	5.272E-4	0.010	0.257	3.519	4.332	2.230	3.491	0.330
53	Track_52	150	0	0	0	0	0	149	0	149	0.354	52	52	39.655	26.905	0	0.013	0.046	0.001	0.012	0.008	3.466	3.522	3.391	3.469	0.022
54	Track_53	3	0	0	0	0	0	2	0	2	0.102	53	53	22.845	26.733	0	0.053	0.070	0.036	0.070	0.024	2.540	2.770	2.199	2.651	0.246
55	Track_54	150	0	0	0	0	0	149	0	149	2.297	54	54	38.376	26.442	0	0.074	1.388	0.001	0.017	0.216	2.739	3.329	2.018	2.623	0.465
56	Track_55	150	0	0	0	0	0	149	0	149	0.479	55	55	44.580	27.077	0	0.015	0.051	0.001	0.013	0.009	3.473	3.632	3.076	3.531	0.131
57	Track_56	149	1	1	0	0	0	149	0	149	1.427	56	56	36.415	26.668	0	0.089	1.248	5.293E-4	0.015	0.238	2.748	3.383	2.066	2.862	0.297
58	Track_57	150	0	0	0	0	0	149	0	149	4.822	57	57	24.007	29.196	0	0.071	2.156	0.001	0.010	0.343	4.460	5.019	3.239	4.359	0.419
59	Track_58	150	0	0	0	0	0	149	0	149	0.195	58	58	39.501	27.620	0	0.011	0.049	4.440E-4	0.009	0.007	3.457	3.629	3.223	3.466	0.074
60	Track_59	150	0	0	0	0	0	149	0	149	0.945	59	59	37.608	27.681	0	0.027	0.081	0.002	0.024	0.017	3.480	3.762	3.146	3.499	0.143
61	Track_60	66	0	0	0	0	0	65	0	65	2.817	60	60	42.788	27.899	0	0.063	1.274	3.694E-4	0.021	0.174	2.964	3.195	2.274	3.033	0.195
62	Track_61	115	0	0	0	0	0	114	0	114	1.930	61	61	37.143	27.254	0	0.093	1.227	9.636E-4	0.018	0.235	2.408	3.726	2.054	2.316	0.273
63	Track_62	58	0	0	0	0	0	57	0	57	2.158	62	62	35.460	26.830	0	0.184	1.436	0.002	0.020	0.402	2.665	3.356	2.151	2.682	0.283
64	Track_63	150	0	0	0	0	0	149	0	149	18.848	63	63	5.385	30.620	0	0.181	0.698	0.002	0.062	0.229	4.317	4.676	3.729	4.369	0.213
65	Track_64	34	1	1	0	0	0	34	0	34	1.391	64	64	32.362	26.346	0	0.302	1.865	0.002	0.019	0.642	3.266	4.595	2.993	3.122	0.379
66	Track_65	150	0	0	0	0	0	149	0	149	3.440	65	65	40.984	29.702	0	0.058	2.968	0.003	0.028	0.242	3.497	4.096	2.854	3.349	0.336
67	Track_66	150	0	0	0	0	0	149	0	149	0.382	66	66	14.757	28.612	0	0.012	0.115	8.884E-4	0.009	0.013	3.299	3.403	2.686	3.337	0.133
68	Track_67	150	0	0	0	0	0	149	0	149	0.999	67	67	44.901	29.097	0	0.013	0.681	0.000	0.000	0.058	3.081	3.569	2.262	3.258	0.338
